Name,Category,Description,Website,DonationLink,CN.Link
"""American Civil Liberties Union""",Civil liberties,"""Working in communities, legislatures and courts, the ACLU defends liberties and rights guaranteed by U.S. laws and the Constitution to all the nation's people.""",https://www.aclu.org/,https://action.aclu.org/donate-aclu?ms=web_horiz_nav_hp,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3247
"""Center for American Progress""",Civil liberties,"""CAP aims to improve life for Americans by developing progressive policy ideas, challenging the media to cover meaningful issues and shaping the national policy conversation.""",https://www.americanprogress.org/,https://ssl1.americanprogress.org/o/507/p/salsa/donation/common/public/?donate_page_KEY=1818,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12155
"""Electronic Frontier Foundation""",Civil liberties,"""EFF protects and enhances rights and freedoms in the digital world, using policy analysis, grassroots activism, technological advancements and strategic legal action.""",https://www.eff.org/,https://supporters.eff.org/donate/button,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7576
"""Center for Competitive Politics""",Civil liberties,"""CPP defends and promotes First Amendment rights, using education, research, activism and strategic legal action, among other tools.""",http://www.campaignfreedom.org/,https://secure.piryx.com/donate/G6P1VJcG/Center-for-Competitive-Politics/,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13397
"""Young Women's Leadership Network""",Gender equality,"""YWLN offers college readiness and access programs to low-income, minority students in grades 6-12 with the aim of helping them break the cycle of poverty through education.""",http://www.ywln.org/,https://www.ywln.org/invest-in-the-future,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10630
"""Anita Borg Institute""",Gender equality,"""Founded on the belief that women are essential to creating the world's technology, ABI recruits, connects and guides women in technological fields.""",http://anitaborg.org/,https://www.networkforgood.org/donation/ExpressDonation.aspx?ORGID2=77-0480427&vlrStratCode=WwAsdSXIcO%2bvzKr%2bX2okYCJGW8R5idjLXqaAvo0YaytB%2fjCW0c27WUYkEQyCjtE7,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12086
"""Center for Reproductive Rights""",Gender equality,"""The Center for Reproductive Rights strives to make reproductive freedom a basic human right protected globally by laws, using litigation, cooperation with policymakers and documentation of abuses.""",https://www.reproductiverights.org/,https://secure3.convio.net/cfrr/site/Donation2?df_id=4620&4620.donation=form1&s_src=webnav&s_subsrc=datasync&_ga=1.168124961.1060495212.1484434431,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3454
"""American Immigration Council""",Immigration,"""The American Immigration Council promotes sensible and humane immigration policies, working for just and fair treatment for immigrants under the law and educating the public about U.S. immigrants' contributions.""",https://www.americanimmigrationcouncil.org/,https://www.americanimmigrationcouncil.org/online-donation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15472
"""CLINIC""",Immigration,"""CLINIC partners with Catholic and legal immigration programs in communities to protect immigrants' rights.""",https://cliniclegal.org/,https://cliniclegal.org/civicrm/contribute/transact?reset=1&id=15,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7118
"""National Immigration Law Center""",Immigration,"""NILC defends and furthers the rights of low-income immigrants through strategic legal action, policy analysis and advocacy and messaging techniques.""",https://www.nilc.org/,https://nilc.z2systems.com/np/clients/nilc/donation.jsp?campaign=15&,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8189
"""American Refugee Committee""",Immigration,"""ARC provides support and opportunities to refugees, displaced individuals and host communities, assisting people with surviving crisis and conflict and rebuilding their lives.""",http://arcrelief.org/,https://secure2.convio.net/refc/site/Donation2;jsessionid=00000000.app251a?df_id=2945&2945.donation=form1&mfc_pref=T&NONCE_TOKEN=A9639D1C30D10B7B92F8BFB911A40663,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3284
